COLUMNS = (PT,TM,ROG,ROHL,DROGDP,DROHLDP,DROGDT,DROHLDT,RS,VISG,VISHL,CPG,CPHL,HG,HHL,TCG,TCHL,SIGGHL,SEG,SEHL)
PVTTABLE POINT = (56000000.0,46.0,696.7408660572399,696.7408660572399,5.2341346601550065e-06,8.62035246796136e-07,-2.0708378345809475,-1.2970526882413909,0.0,0.0051099163153488026,0.0005109916315348803,3175.319737946049,3175.320116526984,-174085.3425259469,-4668151.915287269,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (56000000.0,49.0,690.8580044791394,690.8580044791394,5.2341346601550065e-06,3.238672668769508e-07,-2.0708378345809475,-0.22353065691586674,0.0,0.005109984975497422,0.0005109984975497422,3179.5949647028,3179.588593644631,-168090.01641780697,-4662156.589179129,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (56000000.0,52.0,684.9955790760887,684.9955790760887,5.2341346601550065e-06,6.406948699473647e-07,-2.0708378345809475,-0.4341450041947216,0.0,0.005109585101051964,0.0005109585101051964,3183.189672776143,3183.1866237230956,-162086.25479569286,-4656152.827557015,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (56000000.0,55.0,679.1559232288963,679.1559232288963,5.2341346601550065e-06,5.933856172239205e-07,-2.0708378345809475,-0.4371531850670884,0.0,0.005109235656370615,0.0005109235656370615,3186.093613670734,3186.112594975419,-156074.5999167543,-4650141.172678077,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (56000000.0,58.0,673.3413316444132,673.3413316444132,5.2341346601550065e-06,4.340215839153766e-07,-2.0708378345809475,-0.30710066858417673,0.0,0.005109585535071213,0.0005109585535071213,3188.3466817842086,3188.367062211688,-150055.5965666445,-4644122.169327967,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (56000000.0,61.0,667.5540534410246,667.5540534410246,5.2341346601550065e-06,4.718377205516752e-07,-2.0708378345809475,-0.3389440756199856,0.0,0.005106627861792116,0.0005106627861792115,3189.941872421446,3189.9527401827336,-144029.78936725017,-4638096.362128573,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (56000000.0,64.0,661.7962863104059,661.7962863104059,5.2341346601550065e-06,5.349752809324046e-07,-2.0708378345809475,-0.39222193511070197,0.0,0.005103083065441286,0.0005103083065441285,3191.0899806075904,3190.8744885890637,-137997.72150399815,-4632064.2942653205,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (56000000.0,67.0,656.0701701170194,656.0701701170194,5.2341346601550065e-06,6.262392597732603e-07,-2.0708378345809475,-0.467826255627435,0.0,0.005098981488608548,0.0005098981488608548,3191.1317267192344,3191.1392704642335,-131959.93214121833,-4626026.504902541,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (56000000.0,70.0,650.3777823473794,650.3777823473794,5.2341346601550065e-06,6.916647794904382e-07,-2.0708378345809475,-0.5159401147190302,0.0,0.005094354222776416,0.0005094354222776416,3190.7609251439517,3190.756102676037,-125916.95593106933,-4619983.528692392,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (56000000.0,73.0,644.7211319711241,644.7211319711241,5.2341346601550065e-06,8.154722019757829e-07,-2.0708378345809475,-0.6229214546485423,0.0,0.005089233940082528,0.0005089233940082527,3189.821676903375,3189.735981548947,-119869.32010628935,-4613935.892867612,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (56000000.0,76.0,639.1021552239132,639.1021552239132,5.2341346601550065e-06,9.47221133083588e-07,-2.0708378345809475,-0.7102287258664419,0.0,0.005083655744106146,0.0005083655744106145,3188.0898436806783,3188.0917990699736,-113817.5435687434,-4607884.116330066,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (56000000.0,79.0,633.5227111224585,633.5227111224585,5.2341346601550065e-06,1.0924672908299278e-06,-2.0708378345809475,-0.817402668915399,0.0,0.005077660089032763,0.0005077660089032763,3185.8487571665164,3185.838243874561,-107762.13508434314,-4601828.7078456655,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (56000000.0,82.0,627.9845774993471,627.9845774993471,5.2341346601550065e-06,1.4021779887763947e-06,-2.0708378345809475,-1.0228937417458372,0.0,0.005071295491917269,0.0005071295491917269,3183.0177801749205,3182.991686105406,-101703.59176078998,-4595770.164522112,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (56000000.0,85.0,622.489447910837,622.489447910837,5.2341346601550065e-06,1.9345533264988837e-06,-2.0708378345809475,-1.193351843809788,0.0,0.005064628623041995,0.0005064628623041993,3179.6404675253693,3179.570057942819,-95642.39804734103,-4589708.970808663,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (56000000.0,88.0,617.0389280262883,617.0389280262883,5.2341346601550065e-06,8.066777469871572e-07,-2.0708378345809475,-0.533963624939181,0.0,0.005057764616160821,0.0005057764616160822,3175.5911602779593,3175.592715594208,-89579.02360883541,-4583645.596370158,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (56000000.0,91.0,611.6345339126766,611.6345339126766,5.2341346601550065e-06,4.928345123873418e-07,-2.0708378345809475,-0.2782201155176563,0.0,0.005050914718285625,0.0005050914718285624,3171.021018891035,3171.080303917597,-83513.92307294533,-4577580.495834268,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (56000000.0,94.0,606.2776895519294,606.2776895519294,4.319649692152944e-06,4.319649692152944e-06,-2.323229347160215,-2.323229347160215,1.0,0.0007115256570843991,0.0007115256570843991,3166.0546067546966,3166.0546067546966,-77447.53423011862,-77447.53423011862,0.1078095720383654,0.1078095720383654,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,97.0,600.9697255839875,600.9697255839875,4.364125988827643e-06,4.364125988827643e-06,-2.300201327332792,-2.300201327332792,1.0,0.0007008506003591845,0.0007008506003591845,3160.5383987547916,3160.5383987547916,-71380.2773554381,-71380.2773554381,0.1068722813523293,0.1068722813523293,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,100.0,595.7118785259917,595.7118785259917,4.406978993085695e-06,4.406978993085695e-06,-2.2766326179824756,-2.2766326179824756,1.0,0.0006905484291810394,0.0006905484291810394,3154.5552945425397,3154.5552945425397,-65312.554580490105,-65312.554580490105,0.10596083980341367,0.10596083980341367,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,103.0,590.5052899555844,590.5052899555844,4.448189136880062e-06,4.448189136880062e-06,-2.252568519314834,-2.252568519314834,1.0,0.0006806063178632446,0.0006806063178632446,3148.1295949403066,3148.1295949403066,-59244.74875599053,-59244.74875599053,0.1050749741058117,0.1050749741058117,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,106.0,585.3510065424358,585.3510065424358,4.487741740949795e-06,4.487741740949795e-06,-2.228054154705176,-2.228054154705176,1.0,0.0006710116881208796,0.0006710116881208796,3141.2861372069983,3141.2861372069983,-53177.222966603,-53177.222966603,0.10421439174818478,0.10421439174818478,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,109.0,580.249980516489,580.249980516489,4.525626898588088e-06,4.525626898588088e-06,-2.203134269130766,-2.203134269130766,1.0,0.0006617523236601921,0.0006617523236601921,3134.050147312639,3134.050147312639,-47110.320053204894,-47110.320053204894,0.1033787824509038,0.1033787824509038,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,112.0,575.2030706047921,575.2030706047921,4.561839331057455e-06,4.561839331057455e-06,-2.1778530402205227,-2.1778530402205227,1.0,0.0006528165826916518,0.0006528165826916518,3126.4470985066905,3126.4470985066905,-41044.3624314405,-41044.3624314405,0.10256781964171201,0.10256781964171201,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,115.0,570.2110431707353,570.2110431707353,4.5963782177032294e-06,4.5963782177032294e-06,-2.1522539030876957,-2.1522539030876957,1.0,0.0006441930266656997,0.0006441930266656997,3118.502573180186,3118.502573180186,-34979.65173865389,-34979.65173865389,0.10178116188663128,0.10178116188663128,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,118.0,565.27457336592,565.27457336592,4.62924700395728e-06,4.62924700395728e-06,-2.1263793898457273,-2.1263793898457273,1.0,0.0006358706459862266,0.0006358706459862266,3110.2421304158665,3110.2421304158665,-28916.46814936865,-28916.46814936865,0.10101845423504102,0.10101845423504102,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,121.0,560.3942477989693,560.3942477989693,4.660453190496676e-06,4.660453190496676e-06,-2.1002709844467558,-2.1002709844467558,1.0,0.0006278387888040905,0.0006278387888040905,3101.691187991586,3101.691187991586,-22855.07134702429,-22855.07134702429,0.10027932980629331,0.10027932980629331,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,124.0,555.5705661296521,555.5705661296521,4.690008106834343e-06,4.690008106834343e-06,-2.0739689932321537,-2.0739689932321537,1.0,0.0006200871112731335,0.0006200871112731335,3092.874904332456,3092.874904332456,-16795.699759607203,-16795.699759607203,0.09956341104615109,0.09956341104615109,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,127.0,550.8039435941864,550.8039435941864,4.717926672573274e-06,4.717926672573274e-06,-2.0475124313487574,-2.0475124313487574,1.0,0.0006126043098304575,0.0006126043098304575,3083.818074099567,3083.818074099567,-10738.570831893943,-10738.570831893943,0.09887031109738305,0.09887031109738305,0.0,100.0,100.0)
PVTTABLE POINT = (56000000.0,130.0,546.0947140885806,546.0947140885806,4.744227149459919e-06,4.744227149459919e-06,-2.020938924967113,-2.020938924967113,1.0,0.0006053839097362279,0.0006053839097362279,3074.545034551177,3074.545034551177,-4683.881753878668,-4683.881753878668,0.09819963519706011,0.09819963519706011,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,40.0,722.3843604284989,722.3843604284989,4.744227149459919e-06,3.667582349616645e-07,-2.020938924967113,-0.27820469083095756,0.0,0.005176872149631465,0.0005176872149631464,3078.5676505035294,3078.5677506075863,-185090.443648858,-4679157.01641018,0.05242226597991216,0.05242226597991216,0.891775728012487,100.0,100.0)
PVTTABLE POINT = (60400000.0,43.0,716.7367371890464,716.7367371890464,4.744227149459919e-06,6.92984785857002e-07,-2.020938924967113,-0.45975459858618967,0.0,0.005180096169815141,0.0005180096169815141,3083.8499015534694,3083.8456108611044,-179186.54896937218,-4673253.121730695,0.05237209083682495,0.05237209083682495,0.870362608745029,100.0,100.0)
PVTTABLE POINT = (60400000.0,46.0,711.1027697542639,711.1027697542639,4.744227149459919e-06,8.250778774574867e-07,-2.020938924967113,-1.2606282532878816,0.0,0.005182637792473739,0.0005182637792473738,3088.572818304121,3088.5697267696846,-173273.24194759503,-4667339.814708917,0.0523211421240318,0.0523211421240318,0.8490920764828842,100.0,100.0)
PVTTABLE POINT = (60400000.0,49.0,705.4845127101242,705.4845127101242,4.744227149459919e-06,3.0571530455138025e-07,-2.020938924967113,-0.21578706111358034,0.0,0.005184573779383517,0.0005184573779383517,3092.7457323328713,3092.735928333452,-167350.96541633457,-4661417.538177657,0.05226938742427462,0.05226938742427462,0.8279689713068616,100.0,100.0)
PVTTABLE POINT = (60400000.0,52.0,699.8839987184316,699.8839987184316,4.744227149459919e-06,5.99826001103783e-07,-2.020938924967113,-0.4167862531134684,0.0,0.005186051788168498,0.0005186051788168498,3096.3440719404907,3096.341634234035,-161420.1667660987,-4655486.739527421,0.052216791991138434,0.052216791991138434,0.8069986265512112,100.0,100.0)
PVTTABLE POINT = (60400000.0,55.0,694.3032329279324,694.3032329279324,4.744227149459919e-06,5.582904010261884e-07,-2.020938924967113,-0.4209725331978059,0.0,0.005187599611302206,0.0005187599611302206,3099.355316492186,3099.3858656476077,-155481.29581497703,-4649547.868576299,0.052163318499469494,0.052163318499469494,0.7861869543218376,100.0,100.0)
PVTTABLE POINT = (60400000.0,58.0,688.7441888237843,688.7441888237843,4.744227149459919e-06,4.090247579979401e-07,-2.020938924967113,-0.2959675970312825,0.0,0.005189874753947336,0.0005189874753947336,3101.8731336717497,3101.8692586782445,-149534.8046515789,-4643601.377412901,0.05210892675893248,0.05210892675893248,0.765540553478644,100.0,100.0)
PVTTABLE POINT = (60400000.0,61.0,683.2088028769625,683.2088028769625,4.744227149459919e-06,4.44441732931501e-07,-2.020938924967113,-0.3264620386622855,0.0,0.005188782145614586,0.0005188782145614586,3103.953529642339,3103.794054861586,-143581.14537201915,-4637647.7181333415,0.05205357338359675,0.05205357338359675,0.7450668482586026,100.0,100.0)
PVTTABLE POINT = (60400000.0,64.0,677.6989701678233,677.6989701678233,4.744227149459919e-06,5.034359727452944e-07,-2.020938924967113,-0.3774395053294616,0.0,0.005187100067546687,0.0005187100067546687,3105.3520666968275,3105.1640890426265,-137620.76924165897,-4631687.342002981,0.051997211408704065,0.051997211408704065,0.7247742696495518,100.0,100.0)
PVTTABLE POINT = (60400000.0,67.0,672.2165393842681,672.2165393842681,4.744227149459919e-06,5.883135784715107e-07,-2.020938924967113,-0.44960658113329705,0.0,0.005184856781988155,0.0005184856781988154,3106.0364241878124,3105.984757059602,-131654.1245257575,-4625720.69728708,0.05193978984351171,0.05193978984351171,0.7046724979923222,100.0,100.0)
PVTTABLE POINT = (60400000.0,70.0,666.7633095859346,666.7633095859346,4.744227149459919e-06,6.486541679918662e-07,-2.020938924967113,-0.4952237742535484,0.0,0.005182081310891655,0.0005182081310891655,3106.306878061173,3106.262981409284,-125681.65643809456,-4619748.229199417,0.051881253146134176,0.051881253146134176,0.6847727959995731,100.0,100.0)
PVTTABLE POINT = (60400000.0,73.0,661.3410252631788,661.3410252631788,4.744227149459919e-06,7.631232779764749e-07,-2.020938924967113,-0.597076780508315,0.0,0.005178804127838249,0.0005178804127838249,3105.9991540651567,3106.007157633612,-119703.80461948179,-4613770.377380804,0.05182154060235167,0.05182154060235167,0.6650884802278303,100.0,100.0)
PVTTABLE POINT = (60400000.0,76.0,655.9513732133152,655.9513732133152,4.744227149459919e-06,8.83337711985101e-07,-2.020938924967113,-0.6793719155392405,0.0,0.005175059868895625,0.0005175059868895625,3105.234249984695,3105.2270967053346,-113721.00262752827,-4607787.575388851,0.051760585585022584,0.051760585585022584,0.6456356140473891,100.0,100.0)
PVTTABLE POINT = (60400000.0,79.0,650.5959790246491,650.5959790246491,4.744227149459919e-06,1.0157468007873036e-06,-2.020938924967113,-0.7806750112508892,0.0,0.005170886036234128,0.0005170886036234128,3103.9261213584696,3103.9339568257774,-107733.67649766244,-4601800.249258985,0.05169831466344081,0.05169831466344081,0.6264340746123613,100.0,100.0)
PVTTABLE POINT = (60400000.0,82.0,645.276403952829,645.276403952829,4.744227149459919e-06,1.2945969526927485e-06,-2.020938924967113,-0.9740758319575482,0.0,0.005166330764763206,0.0005166330764763206,3102.4892658899876,3102.1401637410313,-101742.24356820341,-4595808.816329526,0.051634646521843734,0.051634646521843734,0.6075092960217184,100.0,100.0)
PVTTABLE POINT = (60400000.0,85.0,639.9941425123366,639.9941425123366,4.744227149459919e-06,1.765284901686633e-06,-2.020938924967113,-1.1340794721965939,0.0,0.005161459503192029,0.0005161459503192029,3099.8538171525893,3099.8593298117803,-95747.11179873347,-4589813.684560056,0.051569490631943,0.051569490631943,0.5888953500293348,100.0,100.0)
PVTTABLE POINT = (60400000.0,88.0,634.7506194581711,634.7506194581711,4.744227149459919e-06,7.63485791890207e-07,-2.020938924967113,-0.5163766602349953,0.0,0.0051563770133514816,0.0005156377013351482,3097.2743237108575,3097.1061582549537,-89748.67793429457,-4583815.250695617,0.05150274560368791,0.05150274560368791,0.5706410235777958,100.0,100.0)
PVTTABLE POINT = (60400000.0,91.0,629.5471884516887,629.5471884516887,4.744227149459919e-06,4.6156724455573173e-07,-2.020938924967113,-0.2673184105200856,0.0,0.005151295882747103,0.0005151295882747103,3093.8391515143153,3093.896351483785,-83747.32751132082,-4577813.900272643,0.05143429710804334,0.05143429710804334,0.552823996996322,100.0,100.0)
PVTTABLE POINT = (60400000.0,94.0,624.3851298782773,624.3851298782773,3.921924884922541e-06,3.921924884922541e-06,-2.2348440841542403,-2.2348440841542403,1.0,0.0007525796340031711,0.0007525796340031711,3090.246507352214,3090.246507352214,-77743.43328132853,-77743.43328132853,0.11218149018606208,0.11218149018606208,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,97.0,619.265649715471,619.265649715471,3.963149848701337e-06,3.963149848701337e-06,-2.2148195774632713,-2.2148195774632713,1.0,0.0007414422827573274,0.0007414422827573274,3086.1740173431535,3086.1740173431535,-71737.35472422,-71737.35472422,0.11124202550000836,0.11124202550000836,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,100.0,614.1898787430238,614.1898787430238,4.003069972061794e-06,4.003069972061794e-06,-2.1942956083606853,-2.1942956083606853,1.0,0.0007306786379628966,0.0007306786379628966,3081.696962241765,3081.696962241765,-65729.43757596333,-65729.43757596333,0.11032685987224898,0.11032685987224898,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,103.0,609.1588716094483,609.1588716094483,4.041665606018199e-06,4.041665606018199e-06,-2.173308606500805,-2.173308606500805,1.0,0.0007202760622466416,0.0007202760622466416,3076.83400458438,3076.83400458438,-59720.0128110582,-59720.0128110582,0.10943576726308836,0.10943576726308836,0.0,100.0,100.0)
PVTTABLE POINT = (60400000.0,106.0,604.1736066057778,604.1736066057778,4.078920721114887e-06,4.078920721114887e-06,-2.151894996847381,-2.151894996847381,1.0,0.0007102222741226575,0.0007102222741226575,3071.6042837889618,3071.6042837889618,-53709.396243994124,-53709.396243994124,0.10856850452466923,0.10856850452466923,0.0,100.0,100.0)
